"","SentenceID","SentenceText","Response.median","Technique"
"1","173","But if you need to use older versions:",3,1
"2","177","Don't mix <code>var</code> and <code>let</code>/<code>const</code> - if you're using ES6, which you should be, always use <code>const</code>, except when you need to reassign, in which case use <code>let</code>.",4,1
"3","178","Next we add custom getter and setter for public property which checks each it is invoked if <code>_isPlaying</code> is null.",4,1
"4","179","And if so it returns your default value.",4,1
"5","181","and perhaps a third, but a casual scan of the Construct project pages doesn't tell me if it is available: have Construct output JSON or at least a JSON-compatible dictionary, perhaps by using adapters.",3,1
"6","184","Of course, if your structure contains some other exotic data or data that is represented in JSON differently based on its type, this approach might mess it up as it turns all mappings into <code>dict</code> and all sequences into <code>list</code>.",3.5,1
"7","189","Another thing to notice, is that <code>require</code> is synchronous, so if your JSON is specially large, the first time you instanciate <code>MyClass</code> the event loop will be blocked.",4,1
"8","191","I'd only put <code>require</code> inside the constructor if it was a dynamic dependency, like <code>const wordlist = require(</code>./config/lang/${lang}.json<code>)</code>.",5,1
"9","192","Do add proper error handling like if file does not exists, then send back <code>404</code> using something like below:",3,1
"10","193","Please use this method carefully and only if you know what you are doing.",4,1
"11","195","Loop through the object and check to see if car1 exists on the next level down.",4,1
"12","196"," The good news is this will work if given an Array of objects as well instead of a nested Object, but only because we don't care about the keys that hold the objects and only that an object actually has a 'car1' property",4,1
"13","197","Check the result of <code>localeCompare</code> on the property <code>user</code>, if it is either <code>-1</code> or <code>1</code> then return that result.",4,1
"14","198","This works because <code>||</code> will only consider the second component if the <code>localeCompare</code> is zero.",3.5,1
"15","200","This alternative compares the usernames first <strong>(faster than a precipitated localeCompare execution)</strong>, if they are equal then a common comparison between integers is executed.",4,1
"16","202","Or if you want to get just only one <code>[String: Any]</code> object from response you can write:",4,1
"17","203","Or if your object can be an array or not an array (but it sounds a little bit strange) you could try to cast to several possible types.",3,1
"18","204","You can use session storage if you want the data to be retrieved once <strong>PER SESSION</strong> or local storage if you want to have better control of the data's ""expiration"".",5,1
"19","205","You could put the data in <a href=""https://developer.mozilla.org/en-US/docs/Web/API/Window/localStorage"" rel=""nofollow noreferrer""><code>localStorage</code></a> and always check if there is some data there before doing the request.",4.5,1
"20","206","If you're correctly sending change/delete requests - they will be memorized and refresh will read updated data (if not cached).",2.5,1
"21","208","People might be able to give better answers if you include the following:",2,1
"22","209","If your json contains from 0.....N number of persons then <code>BatchUpdate</code> is good solution for you this may reduce your database round trip if you have performance requirement",4.5,1
"23","210","<a href=""https://jishnutkl.wordpress.com/tag/mysql-bulk-insert-from-c-net/"" rel=""nofollow noreferrer"">Here</a> is good article if you have to use <code>StoedProcedure</code> as insert command.",3.5,1
"24","211","<code>for item in data:
    if item['hostname'] == 'c.example.com':
       item.update(update)
</code>
This works only if the keys in your <code>update</code> variable overlap with the keys in the item.",4,1
"25","212","If you have something assigned to x, e.g. <code>x = object1</code>, then if you write <code>x = object2</code>, that does not influence <code>object1</code>* (or any other data, for that matter) in any way.",3,1
"26","214","(*) Although the original data is not modified by this, it may be ""deleted"" i.e. it's memory may be freed if it is no longer referenced by any variable, because it is no longer needed.",2,1
"27","215","and you will also have to add the <code>async</code> keyword to your top function that wraps your code, but if this is a website you'll need to use babel for this to work in all browsers.",3,1
"28","217","You can use this regex if you have to use <code>type=""text""</code>",4,1
"29","218","If it passes this validation then you check if it exceedes the max value of your input.",3,1
"30","220","For example if the given date range is valid.",2,1
"31","221","Stating this, if a returning error code cannot be used to figure out the exact problem of the request, the design of the API interface <strong>might</strong> be not optimal.",3,1
"32","223","Then, if the content may have been updated, you should override the previously downloaded files with the new ones, at app launch.",3,1
"33","224","Please tell me if you need help for Swift translation :)",2,1
"34","225","regarding sending app to background , the content won't reset if the app is left working by IOS , but if closed you will get a new launch when you open it again with array content is initiated from the begining",5,1
"35","227","Pay attention if you need to serialize the data.",3.5,1
"37","231","Probably, the compiler is giving you a warning, but allows you to have such a constructor, even if it will result in undefined behavior or <strong>slicing</strong> an instance of <code>MyObject</code> every time it is passed by value.",4,1
"38","232","Furthermore, if you want to exploit polymorphic behavior you must use pointers, even if there is no explicit need to cast to derived classes in your code, as far as I can see.",4,1
"39","233","If your code uses the class as a <code>QObject</code> for any reason other than to get meta information, you are almost certainly using it incorrectly if you are trying to store it by value (as explained by G. Giordano in their answer).",4,1
"40","234","Overwrites the existing file if the file exists.",3.5,1
"41","235","You'll also need to account for the file not yet existing, and if you don't want to wait for locks forever, you need to handle timeouts (meaning you need to use <code>LOCK_NB</code> <em>in a loop</em> and test for the return value to see if the lock was acquired, until a certain amount of time has passed).",4.5,1
"42","236","In the following context manager, I used the <code>os.open()</code> low-level system call to ensure the file is created when trying to lock it for exclusive access <em>without truncating it if it already exists</em>:",4.5,1
"43","241","But if you have an <code>include</code> property in your <code>tsconfig.json</code>:",4,1
"44","245","Use <code>.reduce</code> to convert the array into an object, as you're doing, but then you need to <code>.find</code> twice to see if the matching <code>name</code> and then if the matching <code>value</code> object exists.",4,1
"45","251","<code>fetch</code> returns a <code>Promise</code>, so if you want to use slice method, you should use it inside the last <code>.then()</code>, but it would be better if you fetch your data in <code>componentDidMount</code>, save your data in React state, and after that use in <code>render</code> method;",5,1
"46","258","<a href=""https://docs.python.org/3/library/json.html#json.dump"" rel=""nofollow noreferrer""><code>skipkeys</code></a> doesn't do what you might think it does - it instructs the <a href=""https://docs.python.org/3/library/json.html#json.JSONEncoder"" rel=""nofollow noreferrer""><code>json.JSONEncoder</code></a> to skip keys that are not of a <em>basic</em> type, not the values of the keys - i.e. if your had a <code>dict</code> <code>{object(): ""foobar""}</code> it would skip the <code>object()</code> key, whereas without <code>skipkeys</code> set to <code>True</code> it would raise a <code>TypeError</code>.",4.5,1
"47","262","You shouldn't use <code>contains/1</code> as it will not work the way you might expect it",4.5,1
"48","263","It will recursively check if all parts are contained.",4.5,1
"49","264","So not only will it check if the string is contained in the array, but if the string is also a substring",4.5,1
"110","179","And if so it returns your default value.",4,2
"210","184","Of course, if your structure contains some other exotic data or data that is represented in JSON differently based on its type, this approach might mess it up as it turns all mappings into <code>dict</code> and all sequences into <code>list</code>.",3.5,2
"36","191","I'd only put <code>require</code> inside the constructor if it was a dynamic dependency, like <code>const wordlist = require(</code>./config/lang/${lang}.json<code>)</code>.",5,2
"410","192","Do add proper error handling like if file does not exists, then send back <code>404</code> using something like below:",3,2
"51","195","Loop through the object and check to see if car1 exists on the next level down.",4,2
"61","197","Check the result of <code>localeCompare</code> on the property <code>user</code>, if it is either <code>-1</code> or <code>1</code> then return that result.",4,2
"71","203","Or if your object can be an array or not an array (but it sounds a little bit strange) you could try to cast to several possible types.",3,2
"81","205","You could put the data in <a href=""https://developer.mozilla.org/en-US/docs/Web/API/Window/localStorage"" rel=""nofollow noreferrer""><code>localStorage</code></a> and always check if there is some data there before doing the request.",4.5,2
"91","209","If your json contains from 0.....N number of persons then <code>BatchUpdate</code> is good solution for you this may reduce your database round trip if you have performance requirement",4.5,2
"101","211","<code>for item in data:
    if item['hostname'] == 'c.example.com':
       item.update(update)
</code>
This works only if the keys in your <code>update</code> variable overlap with the keys in the item.",4,2
"111","215","and you will also have to add the <code>async</code> keyword to your top function that wraps your code, but if this is a website you'll need to use babel for this to work in all browsers.",3,2
"121","218","If it passes this validation then you check if it exceedes the max value of your input.",3,2
"131","220","For example if the given date range is valid.",2,2
"141","224","Please tell me if you need help for Swift translation :)",2,2
"161","232","Furthermore, if you want to exploit polymorphic behavior you must use pointers, even if there is no explicit need to cast to derived classes in your code, as far as I can see.",4,2
"171","234","Overwrites the existing file if the file exists.",3.5,2
"181","241","But if you have an <code>include</code> property in your <code>tsconfig.json</code>:",4,2
"191","245","Use <code>.reduce</code> to convert the array into an object, as you're doing, but then you need to <code>.find</code> twice to see if the matching <code>name</code> and then if the matching <code>value</code> object exists.",4,2
"201","264","So not only will it check if the string is contained in the array, but if the string is also a substring",4.5,2
"112","175","Then your <code>typings.d.ts</code> should be in the <code>src</code> directory as described in <code>include</code> property",3,3
"211","177","Don't mix <code>var</code> and <code>let</code>/<code>const</code> - if you're using ES6, which you should be, always use <code>const</code>, except when you need to reassign, in which case use <code>let</code>.",4,3
"310","180","Otherwise you should consider using another json library like Jackson which as I know supports Kotlin well.",4,3
"411","183","In this case skipping just by type should suffice, but in case the <code>_io</code> key holds some other undesirable data this guarantees it won't be in the final result.",4,3
"52","194","If you do not wanted to create a designated directory (in this case 'public' folder) and put all your top level folders there in order to access it.",4,3
"62","196"," The good news is this will work if given an Array of objects as well instead of a nested Object, but only because we don't care about the keys that hold the objects and only that an object actually has a 'car1' property",4,3
"72","199","I also want to point out that <code>||</code> is not only making the checking of the statement concise, it also allows you to chain further checks in your sorting requirement.",3,3
"82","201","You should cast your data to the <code>[[String: Any]]</code> type because you have array in response.",4,3
"92","207","If it's a SPA (Single Page App) there is no need for refresh - it shouldn't happen.",2.5,3
"102","209","If your json contains from 0.....N number of persons then <code>BatchUpdate</code> is good solution for you this may reduce your database round trip if you have performance requirement",4.5,3
"113","213","What you actually want is to modify <code>data</code>, so you should do so, e.g.",2,3
"122","219","For the min value, the user cannot enter something below <code>0</code> because to do that he should be able to write <code>-</code>, which doesn't pass the first condition ( numbers only )",3,3
"132","222","But I think in your case, you should rather investigate why the client is unable to display the <code>errorMsg</code> - this should be the best and most flexible way to go to add additional validations in the future.",4,3
"142","229","The function needs to be of type JsonResult, and the returned value of Json using  JsonRequestBehavior.AllowGet.",4,3
"151","230","If you use console.log the result returned from the mvc controller and view it in the browser inspect you'll see the object with lots of other info and the values you want are in the .data section of the object.",4,3
"162","231","Probably, the compiler is giving you a warning, but allows you to have such a constructor, even if it will result in undefined behavior or <strong>slicing</strong> an instance of <code>MyObject</code> every time it is passed by value.",4,3
"172","237","If you want to allow for a timeout, add a <code>try/except</code> block around the <code>with</code> block and catch the <code>Timeout</code> exception; you'll need to decide what should happen then:",4,3
"182","251","<code>fetch</code> returns a <code>Promise</code>, so if you want to use slice method, you should use it inside the last <code>.then()</code>, but it would be better if you fetch your data in <code>componentDidMount</code>, save your data in React state, and after that use in <code>render</code> method;",5,3
"192","252","So, yes, in my opinion, <code>require</code> calls should be at the top, unless you know what you're doing, or you're loading a dynamic dependency.",4,3
"202","255","regarding the download every launch , i recommend having expire or new data flag , you should store them in a file/coreData or any other alternative and , it's best to implement <code>Codable</code> , to read them as <code>Data</code> to objects and vice versa when saving",4,3
"212","262","You shouldn't use <code>contains/1</code> as it will not work the way you might expect it",4.5,3
"114","234","Overwrites the existing file if the file exists.",3.5,6
"213","238","This validation error message should be human-readable and it should be okay for the client to display it to the user.",4,6
"311","239","If it returned a falsy value (<strong>i.e.</strong> <code>0</code>) then the value of the other operand of <code>||</code> will be returned (which is sorting by <code>timestamp</code>)",4,6
"412","240","Misuse considerations aside, in order to JSON-ify a <code>QVariant</code> that stores a <code>QObject</code> subclass by value, you can use the <code>QMetaType::create</code> method and pass it the user type id and <code>yourQVariant.constData()</code>.",4,6
"53","241","But if you have an <code>include</code> property in your <code>tsconfig.json</code>:",4,6
"63","242","You can then access your <code>user.json</code> in the folder <code>/api/user.json</code> at <code>localhost:8081/api/user.json</code>",3,6
"73","243","You are trying to cast to <code>[String: Any]</code>, but you have an array of <code>[String: Any]</code> because your response enclosed in <code>[]</code> brackets.",4,6
"83","245","Use <code>.reduce</code> to convert the array into an object, as you're doing, but then you need to <code>.find</code> twice to see if the matching <code>name</code> and then if the matching <code>value</code> object exists.",4,6
"93","246","Normally one of the layers requires the use of services and you can have your controllers and your services (the place where you get the raw data from the server and you make the request.",3.5,6
"103","247","After <code>item = update</code>, variable <code>item</code> no longer references an item from <code>data</code>, it references a different variable: <code>update</code>.",3,6
"115","249","Otherwise, it returns the value stored in <code>_isPlaying</code>",4,6
"123","250","If your input field values are numbers, then you can use input type 'number' .",4,6
"133","251","<code>fetch</code> returns a <code>Promise</code>, so if you want to use slice method, you should use it inside the last <code>.then()</code>, but it would be better if you fetch your data in <code>componentDidMount</code>, save your data in React state, and after that use in <code>render</code> method;",5,6
"143","252","So, yes, in my opinion, <code>require</code> calls should be at the top, unless you know what you're doing, or you're loading a dynamic dependency.",4,6
"152","253","You're not looping over an Array, you are looping over the properties of an Object with a <a href=""https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Statements/for...in"" rel=""nofollow noreferrer""><code>for...in</code></a> loop.",4,6
"163","254","Solution :- <em>You must use database</em> , when you save data you do it in db , when you delete data , you delete it from db &amp; when you fetch data then you fetch from db.",4,6
"173","255","regarding the download every launch , i recommend having expire or new data flag , you should store them in a file/coreData or any other alternative and , it's best to implement <code>Codable</code> , to read them as <code>Data</code> to objects and vice versa when saving",4,6
"183","257","and here how you can insert to db :
for ADO.Net : <a href=""https://msdn.microsoft.com/en-us/library/ms233812.aspx"" rel=""nofollow noreferrer"">https://msdn.microsoft.com/en-us/library/ms233812.aspx</a>",4,6
"193","258","<a href=""https://docs.python.org/3/library/json.html#json.dump"" rel=""nofollow noreferrer""><code>skipkeys</code></a> doesn't do what you might think it does - it instructs the <a href=""https://docs.python.org/3/library/json.html#json.JSONEncoder"" rel=""nofollow noreferrer""><code>json.JSONEncoder</code></a> to skip keys that are not of a <em>basic</em> type, not the values of the keys - i.e. if your had a <code>dict</code> <code>{object(): ""foobar""}</code> it would skip the <code>object()</code> key, whereas without <code>skipkeys</code> set to <code>True</code> it would raise a <code>TypeError</code>.",4.5,6
"203","264","So not only will it check if the string is contained in the array, but if the string is also a substring",4.5,6
